areaname,villagename,開票所編號
南竿鄉,介壽村,介壽村0001
南竿鄉,復興村,復興村0002
南竿鄉,清水村,清水村0003
北竿鄉,塘岐村,塘岐村0004
北竿鄉,芹壁村,芹壁村0005
莒光鄉,青帆村,青帆村0006
莒光鄉,福正村,福正村0007
東引鄉,中柳村,中柳村0008
金城鎮,東門里,東門里0012
金城鎮,東門里,東門里0001
金城鎮,東門里,東門里0002
金城鎮,西門里,西門里0006
金城鎮,西門里,西門里0008
金城鎮,西門里,西門里0007
金城鎮,西門里,西門里0010
金城鎮,西門里,西門里0009
金城鎮,南門里,南門里0004
金城鎮,南門里,南門里0005
金城鎮,南門里,南門里0003
金城鎮,北門里,北門里0011
金城鎮,古城里,古城里0016
金城鎮,古城里,古城里0017
金城鎮,金水里,金水里0015
金城鎮,珠沙里,珠沙里0019
金城鎮,珠沙里,珠沙里0018
金城鎮,賢庵里,賢庵里0013
金城鎮,賢庵里,賢庵里0014
金沙鎮,汶沙里,汶沙里0059
金沙鎮,汶沙里,汶沙里0057
金沙鎮,汶沙里,汶沙里0058
金沙鎮,三山里,三山里0065
金沙鎮,大洋里,大洋里0066
金沙鎮,光前里,光前里0067
金沙鎮,光前里,光前里0068
金沙鎮,何斗里,何斗里0060
金沙鎮,西園里,西園里0063
金沙鎮,官嶼里,官嶼里0064
金沙鎮,浦山里,浦山里0061
金沙鎮,浦山里,浦山里0062
金湖鎮,新市里,新市里0045
金湖鎮,新市里,新市里0044
金湖鎮,山外里,山外里0047
金湖鎮,山外里,山外里0046
金湖鎮,正義里,正義里0054
金湖鎮,料羅里,料羅里0050
金湖鎮,瓊林里,瓊林里0056
金湖鎮,瓊林里,瓊林里0055
金湖鎮,新湖里,新湖里0052
金湖鎮,新湖里,新湖里0053
金湖鎮,新湖里,新湖里0051
金湖鎮,溪湖里,溪湖里0048
金湖鎮,蓮庵里,蓮庵里0049
金寧鄉,古寧村,古寧村0022
金寧鄉,古寧村,古寧村0021
金寧鄉,古寧村,古寧村0020
金寧鄉,安美村,安美村0023
金寧鄉,安美村,安美村0024
金寧鄉,后盤村,后盤村0035
金寧鄉,湖埔村,湖埔村0025
金寧鄉,湖埔村,湖埔村0026
金寧鄉,湖埔村,湖埔村0027
金寧鄉,榜林村,榜林村0028
金寧鄉,榜林村,榜林村0030
金寧鄉,榜林村,榜林村0029
金寧鄉,盤山村,盤山村0034
金寧鄉,盤山村,盤山村0031
金寧鄉,盤山村,盤山村0033
金寧鄉,盤山村,盤山村0032
烈嶼鄉,上岐村,上岐村0041
烈嶼鄉,上岐村,上岐村0036
烈嶼鄉,上林村,上林村0040
烈嶼鄉,西口村,西口村0039
烈嶼鄉,林湖村,林湖村0037
烈嶼鄉,黃埔村,黃埔村0038
烏坵鄉,大坵村,大坵村0042
烏坵鄉,小坵村,小坵村0043
宜蘭市,神農里,神農里0023
宜蘭市,神農里,神農里0025
宜蘭市,神農里,神農里0024
宜蘭市,民權里,民權里0022
宜蘭市,民權里,民權里0021
宜蘭市,進士里,進士里0030
宜蘭市,進士里,進士里0029
宜蘭市,南橋里,南橋里0031
宜蘭市,建業里,建業里0036
宜蘭市,建業里,建業里0035
宜蘭市,南津里,南津里0034
宜蘭市,南津里,南津里0033
宜蘭市,凱旋里,凱旋里0032
宜蘭市,黎明里,黎明里0051
宜蘭市,黎明里,黎明里0052
宜蘭市,東村里,東村里0047
宜蘭市,東村里,東村里0046
宜蘭市,延平里,延平里0041
宜蘭市,延平里,延平里0042
宜蘭市,延平里,延平里0040
宜蘭市,七張里,七張里0053
宜蘭市,慈安里,慈安里0060
宜蘭市,慈安里,慈安里0059
宜蘭市,新民里,新民里0028
宜蘭市,新民里,新民里0027
宜蘭市,東門里,東門里0055
宜蘭市,小東里,小東里0056
宜蘭市,小東里,小東里0057
宜蘭市,菜園里,菜園里0058
宜蘭市,孝廉里,孝廉里0054
宜蘭市,新生里,新生里0064
宜蘭市,新生里,新生里0065
宜蘭市,茭白里,茭白里0067
宜蘭市,茭白里,茭白里0066
宜蘭市,北津里,北津里0068
宜蘭市,北津里,北津里0069
宜蘭市,梅洲里,梅洲里0070
宜蘭市,梅洲里,梅洲里0071
宜蘭市,梅洲里,梅洲里0072
宜蘭市,北門里,北門里0078
宜蘭市,中山里,中山里0075
宜蘭市,西門里,西門里0077
宜蘭市,西門里,西門里0076
宜蘭市,南門里,南門里0073
宜蘭市,南門里,南門里0074
宜蘭市,負郭里,負郭里0007
宜蘭市,負郭里,負郭里0008
宜蘭市,負郭里,負郭里0009
宜蘭市,民族里,民族里0002
宜蘭市,民族里,民族里0001
宜蘭市,建軍里,建軍里0004
宜蘭市,建軍里,建軍里0003
宜蘭市,思源里,思源里0012
宜蘭市,思源里,思源里0011
宜蘭市,思源里,思源里0010
宜蘭市,文化里,文化里0017
宜蘭市,文化里,文化里0016
宜蘭市,文化里,文化里0015
宜蘭市,復興里,復興里0018
宜蘭市,復興里,復興里0020
宜蘭市,復興里,復興里0019
宜蘭市,成功里,成功里0045
宜蘭市,成功里,成功里0044
宜蘭市,成功里,成功里0043
宜蘭市,新東里,新東里0049
宜蘭市,新東里,新東里0048
宜蘭市,新東里,新東里0050
宜蘭市,七結里,七結里0013
宜蘭市,七結里,七結里0014
宜蘭市,泰山里,泰山里0005
宜蘭市,泰山里,泰山里0006
宜蘭市,大新里,大新里0026
宜蘭市,中興里,中興里0061
宜蘭市,中興里,中興里0063
宜蘭市,中興里,中興里0062
宜蘭市,擺厘里,擺厘里0039
宜蘭市,擺厘里,擺厘里0038
宜蘭市,擺厘里,擺厘里0037
羅東鎮,大新里,大新里0081
羅東鎮,東安里,東安里0082
羅東鎮,東安里,東安里0083
羅東鎮,東安里,東安里0084
羅東鎮,新群里,新群里0085
羅東鎮,新群里,新群里0086
羅東鎮,羅莊里,羅莊里0088
羅東鎮,羅莊里,羅莊里0087
羅東鎮,南昌里,南昌里0090
羅東鎮,南昌里,南昌里0089
羅東鎮,南豪里,南豪里0091
羅東鎮,成功里,成功里0092
羅東鎮,仁德里,仁德里0093
羅東鎮,漢民里,漢民里0097
羅東鎮,漢民里,漢民里0098
羅東鎮,漢民里,漢民里0096
羅東鎮,西安里,西安里0103
羅東鎮,西安里,西安里0102
羅東鎮,北成里,北成里0104
羅東鎮,北成里,北成里0106
羅東鎮,北成里,北成里0105
羅東鎮,賢文里,賢文里0111
羅東鎮,賢文里,賢文里0113
羅東鎮,賢文里,賢文里0112
羅東鎮,公正里,公正里0115
羅東鎮,公正里,公正里0114
羅東鎮,集祥里,集祥里0116
羅東鎮,信義里,信義里0118
羅東鎮,信義里,信義里0119
羅東鎮,信義里,信義里0117
羅東鎮,竹林里,竹林里0123
羅東鎮,竹林里,竹林里0125
羅東鎮,竹林里,竹林里0124
羅東鎮,仁愛里,仁愛里0126
羅東鎮,仁愛里,仁愛里0128
羅東鎮,仁愛里,仁愛里0127
羅東鎮,樹林里,樹林里0122
羅東鎮,樹林里,樹林里0121
羅東鎮,樹林里,樹林里0120
羅東鎮,國華里,國華里0107
羅東鎮,國華里,國華里0110
羅東鎮,國華里,國華里0108
羅東鎮,國華里,國華里0109
羅東鎮,維揚里,維揚里0099
羅東鎮,維揚里,維揚里0101
羅東鎮,維揚里,維揚里0100
羅東鎮,開明里,開明里0079
羅東鎮,開明里,開明里0080
羅東鎮,中山里,中山里0095
羅東鎮,仁和里,仁和里0094
蘇澳鎮,龍德里,龍德里0131
蘇澳鎮,龍德里,龍德里0130
蘇澳鎮,龍德里,龍德里0129
蘇澳鎮,頂寮里,頂寮里0132
蘇澳鎮,永榮里,永榮里0134
蘇澳鎮,永榮里,永榮里0135
蘇澳鎮,永榮里,永榮里0133
蘇澳鎮,存仁里,存仁里0137
蘇澳鎮,存仁里,存仁里0136
蘇澳鎮,港邊里,港邊里0139
蘇澳鎮,港邊里,港邊里0138
蘇澳鎮,隘丁里,隘丁里0141
蘇澳鎮,隘丁里,隘丁里0140
蘇澳鎮,隘丁里,隘丁里0142
蘇澳鎮,新城里,新城里0143
蘇澳鎮,聖湖里,聖湖里0147
蘇澳鎮,聖湖里,聖湖里0148
蘇澳鎮,蘇西里,蘇西里0150
蘇澳鎮,蘇西里,蘇西里0151
